occ_code,occ_title
51-3099,"Food Processing Workers, All Other"
43-4060,"Eligibility Interviewers, Government Programs"
13-1198,"Project Management Specialists and Business Operations Specialists, All Other"
15-2040,Statisticians
51-7032,"Patternmakers, Wood"
51-7021,Furniture Finishers
13-1051,Cost Estimators
25-1123,"English Language and Literature Teachers, Postsecondary"
35-3031,Waiters and Waitresses
11-2030,Public Relations and Fundraising Managers
47-2161,Plasterers and Stucco Masons
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
51-9010,"Chemical Processing Machine Setters, Operators, and Tenders"
35-2012,"Cooks, Institution and Cafeteria"
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
51-7020,Furniture Finishers
15-1211,Computer Systems Analysts
23-1000,"Lawyers, Judges, and Related Workers"
53-5031,Ship Engineers
51-4052,"Pourers and Casters, Metal"
51-6093,Upholsterers
19-3093,Historians
43-5060,"Production, Planning, and Expediting Clerks"
19-2011,Astronomers
13-2070,Credit Counselors and Loan Officers
25-2022,"Middle School Teachers, Except Special and Career/Technical Education"
19-1029,"Biological Scientists, All Other"
39-6000,"Baggage Porters, Bellhops, and Concierges"
53-7072,"Pump Operators, Except Wellhead Pumpers"
29-1211,Anesthesiologists
33-3050,Police Officers
43-3040,Gambling Cage Workers
43-5061,"Production, Planning, and Expediting Clerks"
43-2021,Telephone Operators
19-1040,Medical Scientists
27-3092,Court Reporters and Simultaneous Captioners
29-9091,Athletic Trainers
49-2020,Radio and Telecommunications Equipment Installers and Repairers
19-2042,"Geoscientists, Except Hydrologists and Geographers"
25-0000,Educational Instruction and Library Occupations
33-1021,First-Line Supervisors of Firefighting and Prevention Workers
25-1064,"Geography Teachers, Postsecondary"
29-2033,Nuclear Medicine Technologists
35-3041,"Food Servers, Nonrestaurant"
51-4110,Tool and Die Makers
29-1029,"Dentists, All Other Specialists"
49-3021,Automotive Body and Related Repairers
29-1051,Pharmacists
15-2000,Mathematical Science Occupations
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
27-1011,Art Directors
45-2010,Agricultural Inspectors
41-9020,Real Estate Brokers and Sales Agents
49-2011,"Computer, Automated Teller, and Office Machine Repairers"
51-6050,"Tailors, Dressmakers, and Sewers"
13-1071,Human Resources Specialists
21-1021,"Child, Family, and School Social Workers"
19-1020,Biological Scientists
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
47-2050,"Cement Masons, Concrete Finishers, and Terrazzo Workers"
45-4010,Forest and Conservation Workers
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders"
53-7021,Crane and Tower Operators
19-3050,Urban and Regional Planners
53-7121,"Tank Car, Truck, and Ship Loaders"
49-9011,Mechanical Door Repairers
53-3058,"Passenger Vehicle Drivers, Except Bus Drivers, Transit and Intercity"
33-1012,First-Line Supervisors of Police and Detectives
51-9123,"Painting, Coating, and Decorating Workers"
13-1031,"Claims Adjusters, Examiners, and Investigators"
25-2051,"Special Education Teachers, Preschool"
17-2040,Chemical Engineers
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
43-9022,Word Processors and Typists
53-7080,Refuse and Recyclable Material Collectors
51-9070,Jewelers and Precious Stone and Metal Workers
13-2031,Budget Analysts
17-2130,Materials Engineers
13-1131,Fundraisers
15-0000,Computer and Mathematical Occupations
17-2110,"Industrial Engineers, Including Health and Safety"
51-2028,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers"
53-6061,Passenger Attendants
25-9040,Teaching Assistants
41-2031,Retail Salespersons
49-9041,Industrial Machinery Mechanics
29-2050,Health Practitioner Support Technologists and Technicians
45-1000,"Supervisors of Farming, Fishing, and Forestry Workers"
53-5011,Sailors and Marine Oilers
47-4000,Other Construction and Related Workers
43-9021,Data Entry Keyers
49-9081,Wind Turbine Service Technicians
29-1120,Therapists
29-1128,Exercise Physiologists
51-9080,Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians
11-3051,Industrial Production Managers
13-2011,Accountants and Auditors
49-9062,Medical Equipment Repairers
51-5112,Printing Press Operators
27-3090,Miscellaneous Media and Communication Workers
25-4020,Librarians and Media Collections Specialists
35-2020,Food Preparation Workers
17-2031,Bioengineers and Biomedical Engineers
47-2081,Drywall and Ceiling Tile Installers
53-7010,Conveyor Operators and Tenders
19-2021,Atmospheric and Space Scientists
51-7000,Woodworkers
53-7120,"Tank Car, Truck, and Ship Loaders"
25-1120,"Arts, Communications, History, and Humanities Teachers, Postsecondary"
51-5111,Prepress Technicians and Workers
19-2090,Miscellaneous Physical Scientists
47-2142,Paperhangers
47-2221,Structural Iron and Steel Workers
51-8000,Plant and System Operators
21-1090,Miscellaneous Community and Social Service Specialists
11-2010,Advertising and Promotions Managers
43-3031,"Bookkeeping, Accounting, and Auditing Clerks"
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
39-5090,Miscellaneous Personal Appearance Workers
43-2000,Communications Equipment Operators
49-3093,Tire Repairers and Changers
11-9032,"Education Administrators, Kindergarten through Secondary"
13-1074,Farm Labor Contractors
43-4081,"Hotel, Motel, and Resort Desk Clerks"
53-6020,Parking Attendants
51-4194,"Tool Grinders, Filers, and Sharpeners"
11-1030,Legislators
49-9099,"Installation, Maintenance, and Repair Workers, All Other"
13-1070,Human Resources Workers
17-2141,Mechanical Engineers
19-4092,Forensic Science Technicians
25-1063,"Economics Teachers, Postsecondary"
43-4199,"Information and Record Clerks, All Other"
47-2060,Construction Laborers
13-1000,Business Operations Specialists
53-3031,Driver/Sales Workers
11-3020,Computer and Information Systems Managers
43-3050,Payroll and Timekeeping Clerks
35-2000,Cooks and Food Preparation Workers
17-3030,Surveying and Mapping Technicians
19-1099,"Life Scientists, All Other"
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
51-4041,Machinists
11-3031,Financial Managers
53-3033,Light Truck Drivers
43-5032,"Dispatchers, Except Police, Fire, and Ambulance"
19-4060,Social Science Research Assistants
53-5022,Motorboat Operators
25-2011,"Preschool Teachers, Except Special Education"
27-2020,"Athletes, Coaches, Umpires, and Related Workers"
17-2171,Petroleum Engineers
19-3010,Economists
51-9120,Painting Workers
19-2032,Materials Scientists
27-1022,Fashion Designers
33-3000,Law Enforcement Workers
41-9099,"Sales and Related Workers, All Other"
29-1151,Nurse Anesthetists
35-3040,"Food Servers, Nonrestaurant"
47-3013,Helpers--Electricians
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
17-1020,"Surveyors, Cartographers, and Photogrammetrists"
31-9010,Massage Therapists
51-2060,Timing Device Assemblers and Adjusters
51-9191,Adhesive Bonding Machine Operators and Tenders
47-2072,Pile Driver Operators
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
49-9063,Musical Instrument Repairers and Tuners
29-1122,Occupational Therapists
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians
41-9021,Real Estate Brokers
31-0000,Healthcare Support Occupations
25-2021,"Elementary School Teachers, Except Special Education"
29-1024,Prosthodontists
47-5070,"Roustabouts, Oil and Gas"
27-4000,Media and Communication Equipment Workers
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes"
19-4000,"Life, Physical, and Social Science Technicians"
33-2011,Firefighters
51-9040,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
25-4030,Library Technicians
31-1133,Psychiatric Aides
51-4071,Foundry Mold and Coremakers
35-1010,Supervisors of Food Preparation and Serving Workers
27-2021,Athletes and Sports Competitors
21-2000,Religious Workers
43-0000,Office and Administrative Support Occupations
15-1231,Computer Network Support Specialists
23-1011,Lawyers
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
11-2022,Sales Managers
49-3022,Automotive Glass Installers and Repairers
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
27-4014,Sound Engineering Technicians
39-9010,Childcare Workers
25-1080,"Education and Library Science Teachers, Postsecondary"
29-1127,Speech-Language Pathologists
11-3021,Computer and Information Systems Managers
21-0000,Community and Social Service Occupations
41-2021,Counter and Rental Clerks
51-6041,Shoe and Leather Workers and Repairers
43-3060,Procurement Clerks
51-9196,"Paper Goods Machine Setters, Operators, and Tenders"
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door"
51-9140,Semiconductor Processing Technicians
29-1123,Physical Therapists
15-1220,Computer and Information Research Scientists
19-2012,Physicists
27-4030,"Television, Video, and Film Camera Operators and Editors"
29-1150,Nurse Anesthetists
33-3021,Detectives and Criminal Investigators
37-3011,Landscaping and Groundskeeping Workers
43-9070,"Office Machine Operators, Except Computer"
53-7030,Dredge Operators
15-1230,Computer Support Specialists
17-2161,Nuclear Engineers
19-4045,Geological and Hydrologic Technicians
41-1012,First-Line Supervisors of Non-Retail Sales Workers
47-4060,Rail-Track Laying and Maintenance Equipment Operators
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
35-9099,"Food Preparation and Serving Related Workers, All Other"
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
43-3090,Miscellaneous Financial Clerks
47-2043,Floor Sanders and Finishers
39-3019,"Gambling Service Workers, All Other"
47-5000,Extraction Workers
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary"
51-1000,Supervisors of Production Workers
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
51-3021,Butchers and Meat Cutters
27-3023,"News Analysts, Reporters, and Journalists"
47-2141,"Painters, Construction and Maintenance"
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles"
15-1210,Computer and Information Analysts
39-1000,Supervisors of Personal Care and Service Workers
23-1023,"Judges, Magistrate Judges, and Magistrates"
47-2160,Plasterers and Stucco Masons
51-1011,First-Line Supervisors of Production and Operating Workers
19-4042,"Environmental Science and Protection Technicians, Including Health"
43-5011,Cargo and Freight Agents
41-9000,Other Sales and Related Workers
11-9160,Emergency Management Directors
47-2211,Sheet Metal Workers
15-1257,Web Developers and Digital Interface Designers
19-5011,Occupational Health and Safety Specialists
51-4120,"Welding, Soldering, and Brazing Workers"
23-2000,Legal Support Workers
39-3010,Gambling Services Workers
27-2012,Producers and Directors
47-2111,Electricians
49-2000,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers"
11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other"
35-0000,Food Preparation and Serving Related Occupations
47-0000,Construction and Extraction Occupations
39-3000,Entertainment Attendants and Related Workers
17-2010,Aerospace Engineers
39-5012,"Hairdressers, Hairstylists, and Cosmetologists"
19-4010,Agricultural and Food Science Technicians
27-1019,"Artists and Related Workers, All Other"
43-4171,Receptionists and Information Clerks
53-2010,Aircraft Pilots and Flight Engineers
29-1010,Chiropractors
51-2031,Engine and Other Machine Assemblers
41-2020,Counter and Rental Clerks and Parts Salespersons
53-6011,Bridge and Lock Tenders
49-3010,Aircraft Mechanics and Service Technicians
49-3023,Automotive Service Technicians and Mechanics
51-3011,Bakers
11-9051,Food Service Managers
11-3121,Human Resources Managers
41-9041,Telemarketers
19-4040,Environmental Science and Geoscience Technicians
49-3020,Automotive Technicians and Repairers
43-9081,Proofreaders and Copy Markers
51-6021,"Pressers, Textile, Garment, and Related Materials"
39-6011,Baggage Porters and Bellhops
51-2041,Structural Metal Fabricators and Fitters
25-2010,Preschool and Kindergarten Teachers
41-2012,Gambling Change Persons and Booth Cashiers
47-2231,Solar Photovoltaic Installers
17-2061,Computer Hardware Engineers
29-1130,Veterinarians
39-9098,"Crematory Operators and Personal Care and Service Workers, All Other"
49-9094,Locksmiths and Safe Repairers
25-1060,"Social Sciences Teachers, Postsecondary"
25-2023,"Career/Technical Education Teachers, Middle School"
19-4070,Forest and Conservation Technicians
47-2061,Construction Laborers
53-6098,"Aircraft Service Attendants and Transportation Workers, All Other"
41-4010,"Sales Representatives, Wholesale and Manufacturing"
53-4090,Miscellaneous Rail Transportation Workers
53-7190,Miscellaneous Material Moving Workers
27-1026,Merchandise Displayers and Window Trimmers
47-2040,"Carpet, Floor, and Tile Installers and Finishers"
51-9082,Medical Appliance Technicians
19-3040,Sociologists
43-4170,Receptionists and Information Clerks
47-2041,Carpet Installers
19-1021,Biochemists and Biophysicists
43-5050,Postal Service Workers
41-0000,Sales and Related Occupations
27-1025,Interior Designers
39-6012,Concierges
43-4080,"Hotel, Motel, and Resort Desk Clerks"
19-3020,Survey Researchers
53-7199,"Material Moving Workers, All Other"
47-5081,Helpers--Extraction Workers
47-2070,Construction Equipment Operators
27-4098,"Lighting Technicians and Media and Communication Equipment Workers, All Other"
43-3020,Billing and Posting Clerks
13-0000,Business and Financial Operations Occupations
53-7060,Laborers and Material Movers
39-3031,"Ushers, Lobby Attendants, and Ticket Takers"
29-1181,Audiologists
19-2043,Hydrologists
25-4010,"Archivists, Curators, and Museum Technicians"
35-3023,Fast Food and Counter Workers
15-1212,Information Security Analysts
11-3120,Human Resources Managers
35-2014,"Cooks, Restaurant"
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
51-9197,Tire Builders
13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents"
21-1099,"Community and Social Service Specialists, All Other"
15-1290,Miscellaneous Computer Occupations
51-7099,"Woodworkers, All Other"
25-1020,"Math and Computer Science Teachers, Postsecondary"
27-3020,"News Analysts, Reporters and Journalists"
53-6060,Passenger Attendants
51-7040,"Woodworking Machine Setters, Operators, and Tenders"
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping"
47-2082,Tapers
47-2220,Structural Iron and Steel Workers
47-5050,"Rock Splitters, Quarry"
27-2030,Dancers and Choreographers
17-2150,"Mining and Geological Engineers, Including Mining Safety Engineers"
51-6011,Laundry and Dry-Cleaning Workers
53-2011,"Airline Pilots, Copilots, and Flight Engineers"
13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators"
43-4021,Correspondence Clerks
19-3090,Miscellaneous Social Scientists and Related Workers
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
33-0000,Protective Service Occupations
13-1032,"Insurance Appraisers, Auto Damage"
51-8021,Stationary Engineers and Boiler Operators
11-1031,Legislators
31-9095,Pharmacy Aides
21-2099,"Religious Workers, All Other"
43-3010,Bill and Account Collectors
23-2090,Miscellaneous Legal Support Workers
41-9012,Models
49-9069,"Precision Instrument and Equipment Repairers, All Other"
35-9030,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
13-1050,Cost Estimators
29-2091,Orthotists and Prosthetists
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
53-7040,Hoist and Winch Operators
17-3027,Mechanical Engineering Technologists and Technicians
51-8030,Water and Wastewater Treatment Plant and System Operators
53-3030,Driver/Sales Workers and Truck Drivers
13-2030,Budget Analysts
25-9044,"Teaching Assistants, Postsecondary"
35-9090,Miscellaneous Food Preparation and Serving Related Workers
49-9051,Electrical Power-Line Installers and Repairers
15-2098,"Data Scientists and Mathematical Science Occupations, All Other"
39-4030,"Morticians, Undertakers, and Funeral Arrangers"
45-4023,Log Graders and Scalers
11-3070,"Transportation, Storage, and Distribution Managers"
11-9111,Medical and Health Services Managers
17-2051,Civil Engineers
37-3000,Grounds Maintenance Workers
27-2022,Coaches and Scouts
47-2022,Stonemasons
33-9000,Other Protective Service Workers
25-3021,Self-Enrichment Teachers
41-3030,"Securities, Commodities, and Financial Services Sales Agents"
43-3099,"Financial Clerks, All Other"
43-4061,"Eligibility Interviewers, Government Programs"
43-5021,Couriers and Messengers
51-9193,Cooling and Freezing Equipment Operators and Tenders
13-2053,Insurance Underwriters
45-4021,Fallers
53-6000,Other Transportation Workers
31-9097,Phlebotomists
53-5021,"Captains, Mates, and Pilots of Water Vessels"
13-1140,"Compensation, Benefits, and Job Analysis Specialists"
37-3010,Grounds Maintenance Workers
47-4090,Miscellaneous Construction and Related Workers
43-4160,"Human Resources Assistants, Except Payroll and Timekeeping"
31-2021,Physical Therapist Assistants
29-1000,Healthcare Diagnosing or Treating Practitioners
51-7030,"Model Makers and Patternmakers, Wood"
17-2071,Electrical Engineers
27-1021,Commercial and Industrial Designers
53-3052,"Bus Drivers, Transit and Intercity"
49-9031,Home Appliance Repairers
17-3019,"Drafters, All Other"
19-4050,Nuclear Technicians
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
37-2010,Building Cleaning Workers
45-2000,Agricultural Workers
47-4010,Construction and Building Inspectors
43-3071,Tellers
23-1022,"Arbitrators, Mediators, and Conciliators"
25-1050,"Physical Sciences Teachers, Postsecondary"
49-3030,Bus and Truck Mechanics and Diesel Engine Specialists
21-2090,Miscellaneous Religious Workers
51-6060,"Textile Machine Setters, Operators, and Tenders"
19-4031,Chemical Technicians
17-2170,Petroleum Engineers
49-9043,"Maintenance Workers, Machinery"
51-1010,First-Line Supervisors of Production and Operating Workers
17-2041,Chemical Engineers
29-2034,Radiologic Technologists and Technicians
43-3051,Payroll and Timekeeping Clerks
29-1141,Registered Nurses
39-3020,Motion Picture Projectionists
25-9031,Instructional Coordinators
31-9091,Dental Assistants
43-2020,Telephone Operators
43-4050,Customer Service Representatives
17-2020,Agricultural Engineers
17-2190,Miscellaneous Engineers
39-5093,Shampooers
51-4062,"Patternmakers, Metal and Plastic"
29-2052,Pharmacy Technicians
15-1221,Computer and Information Research Scientists
25-1199,"Postsecondary Teachers, All Other"
47-2010,Boilermakers
43-4150,Order Clerks
31-1130,"Nursing Assistants, Orderlies, and Psychiatric Aides"
31-9090,Miscellaneous Healthcare Support Occupations
37-0000,Building and Grounds Cleaning and Maintenance Occupations
29-2098,"Medical Dosimetrists, Medical Records Specialists, and Health Technologists and Technicians, All Other"
33-2021,Fire Inspectors and Investigators
17-1012,Landscape Architects
19-4099,"Life, Physical, and Social Science Technicians, All Other"
29-1022,Oral and Maxillofacial Surgeons
47-2073,Operating Engineers and Other Construction Equipment Operators
19-1013,Soil and Plant Scientists
31-2012,Occupational Therapy Aides
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers"
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood"
53-2020,Air Traffic Controllers and Airfield Operations Specialists
19-1010,Agricultural and Food Scientists
27-3011,Broadcast Announcers and Radio Disc Jockeys
49-9080,Wind Turbine Service Technicians
51-3023,Slaughterers and Meat Packers
35-3011,Bartenders
27-3099,"Media and Communication Workers, All Other"
19-2020,Atmospheric and Space Scientists
23-1012,Judicial Law Clerks
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand"
47-2152,"Plumbers, Pipefitters, and Steamfitters"
11-9050,Food Service Managers
41-2000,Retail Sales Workers
51-4051,Metal-Refining Furnace Operators and Tenders
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
35-1000,Supervisors of Food Preparation and Serving Workers
39-7010,Tour and Travel Guides
41-1000,Supervisors of Sales Workers
47-1000,Supervisors of Construction and Extraction Workers
47-4031,Fence Erectors
13-2010,Accountants and Auditors
43-9199,"Office and Administrative Support Workers, All Other"
51-4030,"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic"
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders
25-4000,"Librarians, Curators, and Archivists"
43-5031,Public Safety Telecommunicators
25-2030,Secondary School Teachers
45-2011,Agricultural Inspectors
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
17-3021,Aerospace Engineering and Operations Technologists and Technicians
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education"
29-1228,"Physicians, All Other; and Ophthalmologists, Except Pediatric"
13-2061,Financial Examiners
43-4070,File Clerks
43-6011,Executive Secretaries and Executive Administrative Assistants
35-2019,"Cooks, All Other"
13-2041,Credit Analysts
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
43-4141,New Accounts Clerks
53-7031,Dredge Operators
27-1012,Craft Artists
29-1031,Dietitians and Nutritionists
43-5010,Cargo and Freight Agents
27-1010,Artists and Related Workers
43-4010,Brokerage Clerks
47-4041,Hazardous Materials Removal Workers
19-3092,Geographers
13-2000,Financial Specialists
27-1014,Special Effects Artists and Animators
47-2053,Terrazzo Workers and Finishers
51-8099,"Plant and System Operators, All Other"
17-2030,Bioengineers and Biomedical Engineers
41-3090,"Miscellaneous Sales Representatives, Services"
43-4180,Reservation and Transportation Ticket Agents and Travel Clerks
13-1020,Buyers and Purchasing Agents
47-4050,Highway Maintenance Workers
25-1070,"Health Teachers, Postsecondary"
33-9021,Private Detectives and Investigators
47-2150,"Pipelayers, Plumbers, Pipefitters, and Steamfitters"
13-1160,Market Research Analysts and Marketing Specialists
17-2120,Marine Engineers and Naval Architects
27-3040,Writers and Editors
47-5051,"Rock Splitters, Quarry"
51-6030,Sewing Machine Operators
25-1124,"Foreign Language and Literature Teachers, Postsecondary"
51-2030,Engine and Other Machine Assemblers
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
51-8091,Chemical Plant and System Operators
39-5010,"Barbers, Hairdressers, Hairstylists and Cosmetologists"
43-3000,Financial Clerks
17-2160,Nuclear Engineers
51-4040,Machinists
29-2056,Veterinary Technologists and Technicians
43-6013,Medical Secretaries and Administrative Assistants
49-3040,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics
49-9070,"Maintenance and Repair Workers, General"
31-2020,Physical Therapist Assistants and Aides
35-2011,"Cooks, Fast Food"
11-3111,Compensation and Benefits Managers
15-1245,Database Administrators and Architects
25-2058,"Special Education Teachers, Secondary School"
23-2093,"Title Examiners, Abstractors, and Searchers"
51-2021,"Coil Winders, Tapers, and Finishers"
51-9111,Packaging and Filling Machine Operators and Tenders
29-1050,Pharmacists
43-4190,Miscellaneous Information and Record Clerks
53-6040,Traffic Technicians
39-9032,Recreation Workers
51-6090,"Miscellaneous Textile, Apparel, and Furnishings Workers"
29-1298,"Acupuncturists and Healthcare Diagnosing or Treating Practitioners, All Other"
31-2022,Physical Therapist Aides
39-3021,Motion Picture Projectionists
21-1094,Community Health Workers
27-3030,Public Relations Specialists
29-2032,Diagnostic Medical Sonographers
13-2071,Credit Counselors
51-9060,"Inspectors, Testers, Sorters, Samplers, and Weighers"
27-3031,Public Relations Specialists
53-2022,Airfield Operations Specialists
11-3030,Financial Managers
19-3032,Industrial-Organizational Psychologists
33-3012,Correctional Officers and Jailers
15-1251,Computer Programmers
51-8092,Gas Plant Operators
53-4011,Locomotive Engineers
25-1081,"Education Teachers, Postsecondary"
41-1010,First-Line Supervisors of Sales Workers
47-2121,Glaziers
53-1041,Aircraft Cargo Handling Supervisors
13-2082,Tax Preparers
19-4090,"Miscellaneous Life, Physical, and Social Science Technicians"
35-3000,Food and Beverage Serving Workers
25-1069,"Social Sciences Teachers, Postsecondary, All Other"
23-0000,Legal Occupations
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
53-1040,First-Line Supervisors of Transportation and Material Moving Workers
17-3025,Environmental Engineering Technologists and Technicians
39-2000,Animal Care and Service Workers
43-9061,"Office Clerks, General"
13-2040,Credit Analysts
27-2023,"Umpires, Referees, and Other Sports Officials"
39-5000,Personal Appearance Workers
19-1031,Conservation Scientists
29-0000,Healthcare Practitioners and Technical Occupations
47-2021,Brickmasons and Blockmasons
25-1126,"Philosophy and Religion Teachers, Postsecondary"
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers"
29-1161,Nurse Midwives
19-3041,Sociologists
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
37-1000,Supervisors of Building and Grounds Cleaning and Maintenance Workers
39-9011,Childcare Workers
43-3011,Bill and Account Collectors
29-1129,"Therapists, All Other"
47-2011,Boilermakers
47-2080,"Drywall Installers, Ceiling Tile Installers, and Tapers"
43-9040,Insurance Claims and Policy Processing Clerks
49-9064,Watch and Clock Repairers
51-9000,Other Production Occupations
25-1010,"Business Teachers, Postsecondary"
13-2060,Financial Examiners
47-5080,Helpers--Extraction Workers
11-9033,"Education Administrators, Postsecondary"
17-2011,Aerospace Engineers
17-3020,"Engineering Technologists and Technicians, Except Drafters"
25-3030,"Substitute Teachers, Short-Term"
51-6020,"Pressers, Textile, Garment, and Related Materials"
19-1041,Epidemiologists
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
33-9020,Private Detectives and Investigators
37-2021,Pest Control Workers
43-4111,"Interviewers, Except Eligibility and Loan"
21-1022,Healthcare Social Workers
47-1010,First-Line Supervisors of Construction Trades and Extraction Workers
21-1010,Counselors
35-2021,Food Preparation Workers
21-1093,Social and Human Service Assistants
15-2041,Statisticians
43-1000,Supervisors of Office and Administrative Support Workers
17-3022,Civil Engineering Technologists and Technicians
49-9095,Manufactured Building and Mobile Home Installers
11-9031,"Education and Childcare Administrators, Preschool and Daycare"
35-3020,Fast Food and Counter Workers
25-1190,Miscellaneous Postsecondary Teachers
51-4190,Miscellaneous Metal Workers and Plastic Workers
13-1111,Management Analysts
53-5000,Water Transportation Workers
41-9030,Sales Engineers
25-3000,Other Teachers and Instructors
39-5092,Manicurists and Pedicurists
11-1010,Chief Executives
27-4031,"Camera Operators, Television, Video, and Film"
43-6010,Secretaries and Administrative Assistants
25-9030,Instructional Coordinators
49-3000,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers"
37-2000,Building Cleaning and Pest Control Workers
15-1299,"Computer Occupations, All Other"
53-4020,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
47-5041,Continuous Mining Machine Operators
33-3052,Transit and Railroad Police
47-2230,Solar Photovoltaic Installers
21-1013,Marriage and Family Therapists
43-1010,First-Line Supervisors of Office and Administrative Support Workers
35-9010,Dining Room and Cafeteria Attendants and Bartender Helpers
41-3010,Advertising Sales Agents
11-9130,Postmasters and Mail Superintendents
25-1042,"Biological Science Teachers, Postsecondary"
51-4199,"Metal Workers and Plastic Workers, All Other"
39-3090,Miscellaneous Entertainment Attendants and Related Workers
11-9040,Architectural and Engineering Managers
35-9021,Dishwashers
47-2180,Roofers
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
29-1171,Nurse Practitioners
43-9031,Desktop Publishers
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers
19-2030,Chemists and Materials Scientists
39-2020,Animal Caretakers
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
33-2020,Fire Inspectors
41-3011,Advertising Sales Agents
